verkauf_id,produkt_id,datum,menge,preis,umsatz
1,P001,2023-01-01,41,65.25,2675.25
2,P001,2023-01-02,69,53.33,3679.77
3,P001,2023-01-03,69,53.33,3679.77
4,P001,2023-01-04,66,51.3,3385.8
5,P001,2023-01-05,35,65.54,2293.9
6,P001,2023-01-06,59,53.72,3169.48
7,P001,2023-01-07,56,53.74,3009.44
8,P001,2023-01-08,36,57.47,2068.92
9,P001,2023-01-09,44,55.36,2435.84
10,P001,2023-01-10,53,55.37,2934.61
11,P001,2023-01-11,61,56.49,3445.89
12,P001,2023-01-12,52,53.99,2807.48
13,P001,2023-01-13,42,58.7,2465.4
14,P001,2023-01-14,44,60.1,2644.4
15,P001,2023-01-15,50,53.55,2677.5
16,P001,2023-01-16,40,61.25,2450.0
17,P001,2023-01-17,47,57.59,2706.73
18,P001,2023-01-18,50,51.51,2575.5
19,P001,2023-01-19,43,64.63,2779.09
20,P001,2023-01-20,42,55.67,2338.14
21,P001,2023-01-21,37,58.79,2175.23
22,P001,2023-01-22,38,65.53,2490.14
23,P001,2023-01-23,45,62.62,2817.9
24,P001,2023-01-24,58,52.32,3034.56
25,P001,2023-01-25,53,53.93,2858.29
26,P001,2023-01-26,46,56.82,2613.72
27,P001,2023-01-27,48,55.06,2642.88
28,P001,2023-01-28,60,55.2,3312.0
29,P001,2023-01-29,47,59.13,2779.11
30,P001,2023-01-30,54,52.11,2813.94
31,P001,2023-01-31,33,65.79,2171.07
32,P001,2023-02-01,69,51.07,3523.83
33,P001,2023-02-02,49,63.22,3097.78
34,P001,2023-02-03,49,62.56,3065.44
35,P001,2023-02-04,53,52.1,2761.3
36,P001,2023-02-05,39,63.94,2493.66
37,P001,2023-02-06,43,60.34,2594.62
38,P001,2023-02-07,52,55.66,2894.32
39,P001,2023-02-08,60,55.87,3352.2
40,P001,2023-02-09,50,64.3,3215.0
41,P001,2023-02-10,52,58.07,3019.64
42,P001,2023-02-11,39,62.4,2433.6
43,P001,2023-02-12,47,59.41,2792.27
44,P001,2023-02-13,61,58.83,3588.63
45,P001,2023-02-14,51,57.4,2927.4
46,P001,2023-02-15,51,55.71,2841.21
47,P001,2023-02-16,47,58.62,2755.14
48,P001,2023-02-17,54,57.15,3086.1
49,P001,2023-02-18,38,62.32,2368.16
50,P001,2023-02-19,37,64.93,2402.41
51,P001,2023-02-20,48,63.11,3029.28
52,P001,2023-02-21,44,63.04,2773.76
53,P001,2023-02-22,58,53.79,3119.82
54,P001,2023-02-23,49,63.1,3091.9
55,P001,2023-02-24,37,64.43,2383.91
56,P001,2023-02-25,53,54.41,2883.73
57,P001,2023-02-26,53,57.4,3042.2
58,P001,2023-02-27,65,51.1,3321.5
59,P001,2023-02-28,39,58.65,2287.35
60,P001,2023-03-01,60,52.79,3167.4
61,P001,2023-03-02,55,56.05,3082.75
62,P001,2023-03-03,55,58.77,3232.35
63,P001,2023-03-04,50,61.54,3077.0
64,P001,2023-03-05,42,65.43,2748.06
65,P001,2023-03-06,44,54.77,2409.88
66,P001,2023-03-07,58,55.26,3205.08
67,P001,2023-03-08,67,51.54,3453.18
68,P001,2023-03-09,95,51.76,4917.2
