produkt_id,datum,wettbewerbspreis
P001,2023-01-02,64.92
P001,2023-01-09,58.84
P001,2023-01-16,63.97
P001,2023-01-23,62.34
P001,2023-01-30,59.13
P001,2023-02-06,56.01
P001,2023-02-13,55.41
P001,2023-02-20,66.46
P001,2023-02-27,67.76
P001,2023-03-06,63.74
P001,2023-03-13,55.54
P001,2023-03-20,60.02
P001,2023-03-27,64.92
P001,2023-04-03,65.69
P001,2023-04-10,55.76
P001,2023-04-17,53.99
P001,2023-04-24,64.67
P001,2023-05-01,59.34
P001,2023-05-08,57.81
P001,2023-05-15,54.18
P001,2023-05-22,62.09
P001,2023-05-29,66.76
P001,2023-06-05,68.35
P001,2023-06-12,62.48
P001,2023-06-19,61.71
P001,2023-06-26,55.27
P001,2023-07-03,62.22
P001,2023-07-10,59.69
P001,2023-07-17,63.1
P001,2023-07-24,59.82
P001,2023-07-31,57.59
P001,2023-08-07,55.42
P001,2023-08-14,58.71
P001,2023-08-21,55.44
P001,2023-08-28,56.64
P001,2023-09-04,68.8
P001,2023-09-11,60.65
P001,2023-09-18,61.97
P001,2023-09-25,67.09
P001,2023-10-02,68.92
P001,2023-10-09,62.73
P001,2023-10-16,66.18
P001,2023-10-23,58.89
P001,2023-10-30,58.58
P001,2023-11-06,60.03
P001,2023-11-13,64.08
P001,2023-11-20,64.22
P001,2023-11-27,58.72
P001,2023-12-04,55.99
P001,2023-12-11,63.48
P001,2023-12-18,55.92
P001,2023-12-25,62.67
P002,2023-01-02,107.32
P002,2023-01-09,107.5
P002,2023-01-16,108.83
P002,2023-01-23,111.81
P002,2023-01-30,102.49
P002,2023-02-06,108.25
P002,2023-02-13,105.47
P002,2023-02-20,94.66
P002,2023-02-27,90.63
P002,2023-03-06,97.1
P002,2023-03-13,101.07
P002,2023-03-20,105.42
P002,2023-03-27,111.24
P002,2023-04-03,94.9
P002,2023-04-10,93.13
P002,2023-04-17,114.08
P002,2023-04-24,92.69
P002,2023-05-01,101.95
P002,2023-05-08,104.63
P002,2023-05-15,103.52
P002,2023-05-22,92.14
P002,2023-05-29,91.42
P002,2023-06-05,92.63
P002,2023-06-12,104.63
P002,2023-06-19,103.6
P002,2023-06-26,95.83
P002,2023-07-03,105.93
P002,2023-07-10,110.49
P002,2023-07-17,91.03
P002,2023-07-24,102.44
P002,2023-07-31,107.22
P002,2023-08-07,96.3
P002,2023-08-14,97.68
P002,2023-08-21,105.33
P002,2023-08-28,112.44
P002,2023-09-04,110.24
P002,2023-09-11,104.57
P002,2023-09-18,108.24
P002,2023-09-25,99.11
P002,2023-10-02,106.01
P002,2023-10-09,101.64
P002,2023-10-16,94.74
P002,2023-10-23,107.53
P002,2023-10-30,103.9
